,course_index,user_index,rating
0,8,0.0,5
1,8,1.0,5
2,8,2.0,5
3,8,3.0,5
4,8,4.0,5
5,8,5.0,4
6,8,6.0,5
7,8,7.0,5
8,8,8.0,5
9,8,9.0,5
10,8,10.0,4
11,8,11.0,5
12,8,12.0,4
13,8,13.0,5
14,8,14.0,5
15,8,15.0,5
16,8,16.0,5
17,8,17.0,3
18,8,18.0,5
19,8,19.0,5
20,8,20.0,5
21,8,21.0,5
22,8,22.0,5
23,8,23.0,5
24,8,24.0,5
25,8,25.0,4
26,8,26.0,5
27,8,27.0,5
28,8,28.0,5
29,8,1.0,5
30,8,29.0,4
31,8,30.0,5
32,8,31.0,5
33,8,32.0,5
34,8,33.0,5
35,8,6.0,5
36,8,34.0,4
37,8,35.0,5
38,8,36.0,5
39,8,37.0,5
40,8,38.0,5
41,8,39.0,5
42,8,40.0,5
43,8,41.0,5
44,8,42.0,4
45,8,43.0,5
46,8,44.0,5
47,8,45.0,5
48,8,46.0,3
49,8,47.0,5
50,8,48.0,5
51,8,49.0,5
52,84,47.0,5
53,84,50.0,5
54,84,51.0,4
55,84,52.0,4
56,84,53.0,5
57,84,54.0,5
58,84,55.0,5
59,84,25.0,4
60,84,56.0,4
61,84,57.0,5
62,84,58.0,5
63,84,59.0,5
64,84,60.0,5
65,84,61.0,5
66,84,62.0,4
67,84,63.0,5
68,84,64.0,4
69,84,65.0,4
70,84,66.0,4
71,84,67.0,5
72,84,68.0,5
73,84,69.0,5
74,84,70.0,5
75,84,53.0,5
76,84,71.0,5
77,84,72.0,3
78,84,73.0,5
79,84,74.0,4
80,84,75.0,5
81,84,76.0,5
82,84,77.0,5
83,84,78.0,5
84,84,79.0,5
85,84,80.0,5
86,84,81.0,4
87,84,82.0,5
88,84,83.0,4
89,84,54.0,5
90,84,84.0,4
91,84,72.0,3
92,84,85.0,5
93,84,86.0,5
94,84,87.0,5
95,84,88.0,5
96,84,89.0,4
97,84,88.0,5
98,84,90.0,5
99,84,91.0,5
